new_column	ID	ParentID	second_parent	third_parent	fourth_parent	fifth_parent	sixth_parent	seventh_parent	drivers_ID	uniq_subclones_per_driver	drivers_CCF_true
22492_3648_1321_606_237_0_0_0	22492	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
22757_3648_1321_606_237_0_0_0	22757	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
22806_3648_1321_606_237_0_0_0	22806	3648	1321	606	237	0	0	0	9	2	9.03457531974868e-06
23442_3648_1321_606_237_0_0_0	23442	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-06
23751_3648_1321_606_237_0_0_0	23751	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
23774_3648_1321_606_237_0_0_0	23774	3648	1321	606	237	0	0	0	9	2	6.02305021316579e-06
23915_3648_1321_606_237_0_0_0	23915	3648	1321	606	237	0	0	0	9	2	4.01536680877719e-06
24356_3648_1321_606_237_0_0_0	24356	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-05
24950_3648_1321_606_237_0_0_0	24950	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-06
25850_3648_1321_606_237_0_0_0	25850	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
26047_3648_1321_606_237_0_0_0	26047	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
26630_3648_1321_606_237_0_0_0	26630	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
