ID	ParentID	Distance	Alive	Necrotic	Lost	Drivers	Passengers	Fitness	CCF	clone_order	Alive_cells_all_descendents	driver_CCF
506	237	1	44	6554523	959199	6	0	7.86414190191616	0	terminal	44	4.41690348965491e-05
536	237	1	14	1770794	254457	6	0	7.94404387586818	0	terminal	14	1.40537838307202e-05
559	237	1	14	1945935	281493	6	0	7.92327174438715	0	terminal	14	1.40537838307202e-05
588	237	1	4	562931	83230	6	0	7.76947904867178	0	terminal	4	4.01536680877719e-06
594	237	1	28	3094360	442245	6	0	8.0075263694227	0	terminal	28	2.81075676614403e-05
607	237	1	9	603290	83359	6	0	8.27268448583849	0	terminal	9	9.03457531974868e-06
611	237	1	13	437110	57231	6	0	8.67430546740372	0	terminal	13	1.30499421285259e-05
629	237	1	8	874356	124399	6	0	8.05154432391677	0	terminal	8	8.03073361755438e-06
635	237	1	8	281478	36521	6	0	8.70693812813973	0	terminal	8	8.03073361755438e-06
636	237	1	6	571984	81527	6	0	8.07176359380629	0	terminal	6	6.02305021316579e-06
643	237	1	20	910155	121763	6	0	8.49179375789707	0	terminal	20	2.0076834043886e-05
649	237	1	9	590106	81545	6	0	8.3339072722739	0	terminal	9	9.03457531974868e-06
653	237	1	34	2442093	338322	6	0	8.26741400588983	0	terminal	34	3.41306178746061e-05
681	237	1	3	388892	56409	6	0	7.89221620128594	0	terminal	3	3.01152510658289e-06
684	237	1	2	154338	21902	6	0	8.12441400644569	0	terminal	2	2.0076834043886e-06
685	237	1	7	635316	89756	6	0	8.10532543920463	0	terminal	7	7.02689191536008e-06
707	237	1	1	138134	19981	6	0	7.89448746983577	0	terminal	1	1.0038417021943e-06
722	237	1	2	215893	30505	6	0	8.07958355062565	0	terminal	2	2.0076834043886e-06
728	237	1	5	409773	57248	6	0	8.11514800693176	0	terminal	5	5.01920851097149e-06
734	237	1	4	257335	34985	6	0	8.35613143340819	0	terminal	4	4.01536680877719e-06
748	237	1	16	581987	76703	6	0	8.66283536444948	0	terminal	16	1.60614672351088e-05
749	237	1	60	1953940	252346	6	0	8.75184106659815	1e-04	terminal	60	6.02305021316579e-05
785	237	1	28	507081	62617	6	0	9.18261691348203	0	terminal	28	2.81075676614403e-05
794	477	1	2	48949	6387	7	0	9.06161811879746	0	terminal	2	2.0076834043886e-06
800	237	1	24	672383	86450	6	0	8.78566011424284	0	terminal	24	2.40922008526631e-05
803	237	1	301	5757681	716143	6	0	9.13553501977156	3e-04	terminal	301	0.000302156352360484
826	237	1	1	55056	7396	6	0	8.4446567581326	0	terminal	1	1.0038417021943e-06
834	237	1	2	52635	6839	6	0	8.76596369828406	0	terminal	2	2.0076834043886e-06
836	237	1	4	122946	16206	6	0	8.7248008818492	0	terminal	4	4.01536680877719e-06
850	237	1	49	1201158	152782	6	0	8.95106302934056	0	terminal	49	4.91882434075206e-05
851	237	1	6	259178	34958	6	0	8.48334656095323	0	terminal	6	6.02305021316579e-06
900	237	1	97	1437759	174873	6	0	9.35504340253487	1e-04	terminal	97	9.73726451128469e-05
906	237	1	1	26513	3316	6	0	9.00516781373919	0	terminal	1	1.0038417021943e-06
944	237	1	35	493195	59965	6	0	9.3596947859767	0	terminal	35	3.51344595768004e-05
982	237	1	3	53690	6647	6	0	9.13978116494312	0	terminal	3	3.01152510658289e-06
1015	237	1	11	192403	23755	6	0	9.21361643812535	0	terminal	11	1.10422587241373e-05
1024	421	1	5	57327	6754	7	0	9.62326081720269	0	terminal	5	5.01920851097149e-06
1048	237	1	3	105345	13433	6	0	8.82580755230539	0	terminal	3	3.01152510658289e-06
1049	237	1	4	87170	10927	6	0	9.05734713214198	0	terminal	4	4.01536680877719e-06
1058	237	1	2	27077	3317	6	0	9.2160124923356	0	terminal	2	2.0076834043886e-06
1065	237	1	1	26801	3353	6	0	9.05365109530876	0	terminal	1	1.0038417021943e-06
1073	237	1	184	1734860	201175	6	0	9.78647249363657	2e-04	terminal	184	0.000184706873203751
1079	606	1	2	23820	2817	7	0	9.61326967169219	0	terminal	2	2.0076834043886e-06
1080	237	1	1	27387	3534	6	0	9.01351088819809	0	terminal	1	1.0038417021943e-06
1081	421	1	1	36549	4640	7	0	8.73361011609645	0	terminal	1	1.0038417021943e-06
1084	513	1	370	1845314	201293	7	0	10.5699489341229	4e-04	terminal	370	0.00037142142981189
1086	477	1	3	40239	4834	7	0	9.24626910176978	0	terminal	3	3.01152510658289e-06
1087	237	1	6	74757	8938	6	0	9.50353867614033	0	terminal	6	6.02305021316579e-06
1105	513	1	14	211314	25716	7	0	9.33018784991969	0	terminal	14	1.40537838307202e-05
1121	237	1	209	1406204	158948	6	0	10.1642647745768	2e-04	terminal	209	0.000209802915758608
1137	421	1	16	101441	11283	7	0	10.2883956886363	0	terminal	16	1.60614672351088e-05
1156	565	1	26	231492	26762	7	0	9.82636583579546	0	terminal	26	2.60998842570517e-05
1169	237	1	10	108708	13007	6	0	9.63779934871743	0	terminal	10	1.0038417021943e-05
1194	606	1	16	108228	12375	7	0	10.073399411376	0	terminal	16	1.60614672351088e-05
1219	513	1	41	235741	25820	7	0	10.3821390932316	0	terminal	41	4.11575097899662e-05
1233	237	1	52	342652	38426	6	0	10.2319632668068	1e-04	terminal	52	5.21997685141035e-05
1255	237	1	1	13897	1710	6	0	9.58601695088325	0	terminal	1	1.0038417021943e-06
1282	237	1	7	54808	6208	6	0	10.1120793758385	0	terminal	7	7.02689191536008e-06
1299	421	1	4	64672	7966	7	0	9.33503333274799	0	terminal	4	4.01536680877719e-06
1303	237	1	2	26309	3168	6	0	9.26119010748947	0	terminal	2	2.0076834043886e-06
1314	237	1	3	35827	4167	6	0	9.79306362915626	0	terminal	3	3.01152510658289e-06
1316	606	1	10	73894	8225	7	0	10.1481126609146	0	terminal	10	1.0038417021943e-05
1347	237	1	3	29170	3435	6	0	9.82771670861474	0	terminal	3	3.01152510658289e-06
1349	606	1	1	19534	2438	7	0	9.46205992850945	0	terminal	1	1.0038417021943e-06
1374	237	1	3	37186	4366	6	0	9.58226507572752	0	terminal	3	3.01152510658289e-06
1387	683	1	27	129995	13898	7	0	10.5864456067273	0	terminal	27	2.7103725959246e-05
1396	421	1	15	101208	11382	7	0	10.1793964225386	0	terminal	15	1.50576255329145e-05
1406	421	1	4	34488	4156	7	0	9.63605430010606	0	terminal	4	4.01536680877719e-06
1418	237	1	21	128981	14452	6	0	10.2418094285179	0	terminal	21	2.10806757460802e-05
1429	421	1	738	2314452	240249	7	0	11.3199876301305	7e-04	terminal	738	0.000740835176219392
1460	237	1	1	19525	2344	6	0	9.08696974177278	0	terminal	1	1.0038417021943e-06
1466	565	1	2	19025	2262	7	0	9.72994043891425	0	terminal	2	2.0076834043886e-06
1473	534	1	12	67654	7313	7	0	10.3590376940701	0	terminal	12	1.20461004263316e-05
1490	237	1	9	47530	5304	6	0	10.3726491173131	0	terminal	9	9.03457531974868e-06
1544	237	1	105	520785	57084	6	0	10.5896782859423	1e-04	terminal	105	0.000105403378730401
1548	237	1	4	36059	4260	6	0	9.77407327406207	0	terminal	4	4.01536680877719e-06
1566	683	1	5	21870	2467	7	0	10.837202482042	0	terminal	5	5.01920851097149e-06
1578	552	1	172	500201	51408	7	0	11.4578636624364	2e-04	terminal	172	0.000172660772777419
1591	237	1	61	269225	28808	6	0	10.7647656253623	1e-04	terminal	61	6.12343438338522e-05
1606	683	1	10	39395	4268	7	0	10.7981572906628	0	terminal	10	1.0038417021943e-05
1622	513	1	2	20002	2279	7	0	9.6721746301836	0	terminal	2	2.0076834043886e-06
1628	513	1	73	341005	36754	7	0	10.6728612230013	1e-04	terminal	73	7.32804442601837e-05
1639	504	1	2	18961	2248	7	0	9.7287093877992	0	terminal	2	2.0076834043886e-06
1641	504	1	3	22161	2458	7	0	10.260749414188	0	terminal	3	3.01152510658289e-06
1649	504	1	5	29970	3400	7	0	10.2777524646519	0	terminal	5	5.01920851097149e-06
1653	683	1	42	186950	20294	7	0	10.7121139745159	0	terminal	42	4.21613514921605e-05
1668	639	1	5	40567	4503	7	0	10.1613692949854	0	terminal	5	5.01920851097149e-06
1687	779	1	166	510716	53124	7	0	11.3056367101271	2e-04	terminal	166	0.000166637722564253
1699	804	1	1384	3700519	377109	7	0	11.6329209952695	0.0014	terminal	1384	0.00138931691583691
1700	237	1	4	37145	4131	6	0	9.97755836844405	0	terminal	4	4.01536680877719e-06
1723	237	1	2	17196	1954	6	0	9.58016973278365	0	terminal	2	2.0076834043886e-06
1726	421	1	3	25758	3024	7	0	9.96878134274068	0	terminal	3	3.01152510658289e-06
1728	565	1	3	18175	2110	7	0	9.83810333228859	0	terminal	3	3.01152510658289e-06
1739	237	1	278	852772	88247	6	0	11.363493905054	3e-04	terminal	278	0.000279067993210015
1757	683	1	20	71768	7496	7	0	10.9770988993106	0	terminal	20	2.0076834043886e-05
1862	504	1	5	34827	3890	7	0	9.94769148946378	0	terminal	5	5.01920851097149e-06
1873	421	1	282	673206	68163	7	0	11.8843663485352	3e-04	terminal	282	0.000283083360018792
1874	421	1	133	399487	41287	7	0	11.373355295014	1e-04	terminal	133	0.000133510946391842
1878	606	1	580	1322519	132952	7	0	11.9579071593414	6e-04	terminal	580	0.000582228187272693
1887	763	1	8	44137	4800	7	0	10.6936795893431	0	terminal	8	8.03073361755438e-06
1916	804	1	14	63263	6777	7	0	10.6333270817647	0	terminal	14	1.40537838307202e-05
1922	421	1	3	18649	2120	7	0	10.3232042220002	0	terminal	3	3.01152510658289e-06
1927	683	1	58	131812	13176	7	0	11.9833655894629	1e-04	terminal	58	5.82228187272693e-05
1935	683	1	58	216347	23018	7	0	11.035078909411	1e-04	terminal	58	5.82228187272693e-05
1963	763	1	2	13252	1495	7	0	9.96326823510554	0	terminal	2	2.0076834043886e-06
1972	606	1	5	32128	3664	7	0	10.3507268124386	0	terminal	5	5.01920851097149e-06
1986	513	1	4	16770	1843	7	0	10.5202074659006	0	terminal	4	4.01536680877719e-06
2016	683	1	19	108292	12045	7	0	10.4413181416209	0	terminal	19	1.90729923416917e-05
2029	683	1	26	86410	8883	7	0	11.2629283111917	0	terminal	26	2.60998842570517e-05
2037	513	1	10	25906	2704	7	0	11.5747645844728	0	terminal	10	1.0038417021943e-05
2053	683	1	28	97761	10471	7	0	11.0759987766474	0	terminal	28	2.81075676614403e-05
2096	779	1	4	25679	2894	7	0	10.4396771501532	0	terminal	4	4.01536680877719e-06
2126	504	1	43	178840	19136	7	0	10.8352890010172	0	terminal	43	4.31651931943548e-05
2159	683	1	525	1044961	102726	7	0	12.2838841737113	5e-04	terminal	525	0.000527016893652006
2184	683	1	11	56197	6084	7	0	10.6026975954354	0	terminal	11	1.10422587241373e-05
2193	606	1	88	241668	24451	7	0	11.6505367071651	1e-04	terminal	88	8.83380697930982e-05
2197	504	1	40	102333	10372	7	0	11.7500931946276	0	terminal	40	4.01536680877719e-05
2199	552	1	301	782039	79827	7	0	11.6756647582204	3e-04	terminal	301	0.000302156352360484
2204	683	1	3	16226	1765	7	0	10.6028097704122	0	terminal	3	3.01152510658289e-06
2215	683	1	4	17433	1887	7	0	10.6555629081528	0	terminal	4	4.01536680877719e-06
2218	513	1	1	9533	1077	7	0	10.0257912076636	0	terminal	1	1.0038417021943e-06
2222	513	1	16	39533	4075	7	0	11.6619450412758	0	terminal	16	1.60614672351088e-05
2260	513	1	3	15120	1619	7	0	10.5777340588513	0	terminal	3	3.01152510658289e-06
2278	683	1	9	40688	4299	7	0	10.7477363727854	0	terminal	9	9.03457531974868e-06
2301	639	1	188	370534	36663	7	0	12.3131954930864	2e-04	terminal	188	0.000188722240012528
2303	804	1	7	30263	3400	7	0	10.6179167714402	0	terminal	7	7.02689191536008e-06
2311	606	1	26	66700	6712	7	0	11.6367893727606	0	terminal	26	2.60998842570517e-05
2316	804	1	13	45353	4778	7	0	11.1636216411499	0	terminal	13	1.30499421285259e-05
2326	683	1	129	311937	31645	7	0	11.8480153360259	1e-04	terminal	129	0.000129495579583064
2335	683	1	2	12396	1353	7	0	10.5538886667936	0	terminal	2	2.0076834043886e-06
2336	504	1	98	210893	21032	7	0	12.0153658697589	1e-04	terminal	98	9.83764868150412e-05
2349	504	1	96	297958	30991	7	0	11.3715921538423	1e-04	terminal	96	9.63688034106526e-05
2395	477	1	6	31318	3357	7	0	10.6322850892879	0	terminal	6	6.02305021316579e-06
2399	513	1	1	6428	724	7	0	10.436884157121	0	terminal	1	1.0038417021943e-06
2413	504	1	69	155780	15595	7	0	11.9856788069437	1e-04	terminal	69	6.92650774514065e-05
2415	683	1	692	1285425	125024	7	0	12.4231805017021	7e-04	terminal	692	0.000694658457918454
2419	504	1	12	42780	4462	7	0	11.1976559298033	0	terminal	12	1.20461004263316e-05
2451	606	1	2	13477	1577	7	0	10.1691856438354	0	terminal	2	2.0076834043886e-06
2468	683	1	4	17820	2061	7	0	10.5400565625573	0	terminal	4	4.01536680877719e-06
2484	683	1	3	13601	1537	7	0	10.5477893961274	0	terminal	3	3.01152510658289e-06
2488	683	1	4	23542	2590	7	0	10.5040340174782	0	terminal	4	4.01536680877719e-06
2493	683	1	672	1061204	102483	7	0	12.8810526005571	7e-04	terminal	672	0.000674581623874568
2513	683	1	23	87355	9541	7	0	10.8484719843358	0	terminal	23	2.30883591504688e-05
2518	683	1	8	42197	4619	7	0	10.3808904358489	0	terminal	8	8.03073361755438e-06
2526	552	1	4	23739	2683	7	0	10.3436817018124	0	terminal	4	4.01536680877719e-06
2532	683	1	91	229973	23652	7	0	11.7272469244319	1e-04	terminal	91	9.13495948996811e-05
