Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	Tumor_Sample_Barcode	Recalibrated
HF414_ET001_D01.recal	HF414_ET001_D01.recal.bam	345403232	345238867	15808943540	15807663020	26823.4806	103	57.4284	0.0026	431.5801	99.9524135894594	HF414_ET001_D01	Yes
HF414_ET001_D01_1	HF414_ET001_D01_1.bam	123682102	123594337	8040963302	8040309276	24464.1322	104	57.5214	0.0028	219.5162	99.9290398541254	HF414_ET001_D01	No
HF414_ET001_D01_2	HF414_ET001_D01_2.bam	117230432	117156505	7616063734	7615440226	24026.8653	103	57.5247	0.0027	207.9166	99.9369387293566	HF414_ET001_D01	No
HF414_ET001_D01_3	HF414_ET001_D01_3.bam	107623216	107551837	6997217416	6996642482	24152.819	104	57.5328	0.0028	191.0223	99.9336769494047	HF414_ET001_D01	No
HF414_RN001_D01.recal	HF414_RN001_D01.recal.bam	307775950	307600578	13925962280	13924638359	17762.3674	98	57.5221	0.0023	380.1752	99.9430195894124	HF414_RN001_D01	Yes
HF414_RN001_D01_1	HF414_RN001_D01_1.bam	112329058	112229844	7349517136	7348812876	16322.4166	98	57.6076	0.0026	200.6399	99.9116755701806	HF414_RN001_D01	No
HF414_RN001_D01_2	HF414_RN001_D01_2.bam	106464548	106385101	6962472995	6961800876	15769.6955	98	57.6178	0.0024	190.0737	99.9253770372462	HF414_RN001_D01	No
HF414_RN001_D01_3	HF414_RN001_D01_3.bam	91251950	91176709	5973783705	5973207645	16528.2169	99	57.6275	0.0025	163.0828	99.9175458716225	HF414_RN001_D01	No
HF419_ET001_D01.recal	HF419_ET001_D01.recal.bam	451099808	450827994	18969535801	18967992976	16433.2516	89	57.3078	0.0027	517.8635	99.9397441552447	HF419_ET001_D01	Yes
HF419_ET001_D01_1	HF419_ET001_D01_1.bam	164317244	164150938	10451040782	10450178584	14902.7499	90	57.4085	0.003	285.3107	99.8987896851532	HF419_ET001_D01	No
HF419_ET001_D01_2	HF419_ET001_D01_2.bam	155472228	155340280	9861993809	9861177071	13643.5436	89	57.4168	0.0029	269.2299	99.9151308232362	HF419_ET001_D01	No
HF419_ET001_D01_3	HF419_ET001_D01_3.bam	135580110	135453208	8621757896	8621039182	14584.2137	90	57.4279	0.003	235.3718	99.9064007250031	HF419_ET001_D01	No
HF419_RN001_D01.recal	HF419_RN001_D01.recal.bam	339523861	339304368	14480882945	14479499982	10950.9673	91	57.4801	0.0024	395.3244	99.9353527026485	HF419_RN001_D01	Yes
HF419_RN001_D01_1	HF419_RN001_D01_1.bam	122921584	122807366	7944994770	7944223094	9626.1743	92	57.5749	0.0027	216.8963	99.907080598636	HF419_RN001_D01	No
HF419_RN001_D01_2	HF419_RN001_D01_2.bam	117679098	117583389	7581892267	7581152097	9039.7387	92	57.5776	0.0026	206.9837	99.9186694989793	HF419_RN001_D01	No
HF419_RN001_D01_3	HF419_RN001_D01_3.bam	101287518	101201824	6543429069	6542795100	9670.1241	92	57.5904	0.0027	178.6339	99.9153953007319	HF419_RN001_D01	No
HF420_ET001_D01.recal	HF420_ET001_D01.recal.bam	412269792	412068967	18585477863	18583987290	22218.1366	108	57.4544	0.0027	507.3788	99.9512879663034	HF420_ET001_D01	Yes
HF420_ET001_D01_1	HF420_ET001_D01_1.bam	152104836	151992123	9984267173	9983461001	20400.0306	109	57.5498	0.003	272.5679	99.9258978195802	HF420_ET001_D01	No
HF420_ET001_D01_2	HF420_ET001_D01_2.bam	149567480	149469353	9820683572	9819882107	19647.4291	109	57.5502	0.0029	268.1022	99.9343928238946	HF420_ET001_D01	No
HF420_ET001_D01_3	HF420_ET001_D01_3.bam	113545716	113469922	7453435765	7452828922	20747.8746	109	57.5687	0.0029	203.4769	99.9332480320085	HF420_ET001_D01	No
HF420_ET002_D01.recal	HF420_ET002_D01.recal.bam	471945050	471712568	15625663075	15624178269	11768.5868	94	57.3958	0.0026	426.55	99.9507396041128	HF420_ET002_D01	Yes
HF420_ET002_D01_1	HF420_ET002_D01_1.bam	277862518	277660996	18252404124	18250610194	9404.8424	99	57.4922	0.0026	498.2549	99.9274742050671	HF420_ET002_D01	No
HF420_ET002_D01_2	HF420_ET002_D01_2.bam	196799736	196633826	12948288385	12947026934	9927.0429	100	57.493	0.0037	353.4629	99.9156960251207	HF420_ET002_D01	No
HF420_RN001_D01.recal	HF420_RN001_D01.recal.bam	327944811	327753784	14539142956	14537716597	22934.027	104	57.5505	0.0025	396.9149	99.9417502599241	HF420_RN001_D01	Yes
HF420_RN001_D01_1	HF420_RN001_D01_1.bam	120163098	120063188	7855156033	7854392767	21746.6169	105	57.6432	0.0028	214.4438	99.916854673637	HF420_RN001_D01	No
HF420_RN001_D01_2	HF420_RN001_D01_2.bam	118754264	118664155	7753371441	7752599813	20096.277	105	57.6436	0.0028	211.6651	99.9241214614407	HF420_RN001_D01	No
HF420_RN001_D01_3	HF420_RN001_D01_3.bam	91106662	91037847	5953964793	5953370050	21628.9513	106	57.6622	0.0028	162.5417	99.92446765309	HF420_RN001_D01	No
HF422_ET001_D01.recal	HF422_ET001_D01.recal.bam	291983136	291839684	12444629081	12443630275	25894.009	95	57.3946	0.0028	339.7352	99.9508697653004	HF422_ET001_D01	Yes
HF422_ET001_D01_1	HF422_ET001_D01_1.bam	110382294	110304469	7076755530	7076185529	24421.1318	97	57.4967	0.0032	193.1936	99.9294950329624	HF422_ET001_D01	No
HF422_ET001_D01_2	HF422_ET001_D01_2.bam	101728294	101664051	6509747833	6509214138	24122.9006	97	57.5004	0.003	177.7145	99.9368484445439	HF422_ET001_D01	No
HF422_ET001_D01_3	HF422_ET001_D01_3.bam	82246672	82193725	5272393670	5271967415	24143.3224	98	57.517	0.0031	143.935	99.935624142944	HF422_ET001_D01	No
HF422_RN001_D01.recal	HF422_RN001_D01.recal.bam	207506686	207405276	8680763014	8680097766	17608.6155	92	57.511	0.0023	236.9826	99.9511292855402	HF422_RN001_D01	Yes
